Id,Question,Answer
126,"What is the minimum payment required each month?
",2% or $10
127,"What is the minimum payment required each month?
",2% or $20
128,"What is the minimum payment required each month?
",1% or $30
129,"What is the minimum payment required each month?
",3% or $20
130,"What is the minimum payment required each month?
",3% or $25
131,"What is the minimum payment required each month?
",3% or $20
132,"What is the minimum payment required each month?
",2% or $20
133,"What is the minimum payment required each month?
",1% or $10
134,"What is the minimum payment required each month?
",3% or $25
135,"What is the minimum payment required each month?
",1% or $30
136,"What is the minimum payment required each month?
",3% or $10
137,"What is the minimum payment required each month?
",2% or $10
138,"What is the minimum payment required each month?
",2% or $20
139,"What is the minimum payment required each month?
",2% or $20
140,"What is the minimum payment required each month?
",2% or $25
141,"What is the minimum payment required each month?
",3% or $25
142,"What is the minimum payment required each month?
",1% or $30
143,"What is the minimum payment required each month?
",3% or $20
144,"What is the minimum payment required each month?
",3% or $20
145,"What is the minimum payment required each month?
",3% or $25
146,"What is the minimum payment required each month?
",2% or $25
147,"What is the minimum payment required each month?
",2% or $10
148,"What is the minimum payment required each month?
",2% or $25
149,"What is the minimum payment required each month?
",1% or $10
150,"What is the minimum payment required each month?
",2% or $20
1,How soon must you notify the issuer if you think your bill is wrong?,60 days
2,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
3,How soon must you notify the issuer if you think your bill is wrong?,60 days
4,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
5,How soon must you notify the issuer if you think your bill is wrong?,60 days
6,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
7,How soon must you notify the issuer if you think your bill is wrong?,60 days
8,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
9,How soon must you notify the issuer if you think your bill is wrong?,60 days
10,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
11,How soon must you notify the issuer if you think your bill is wrong?,60 days
12,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
13,How soon must you notify the issuer if you think your bill is wrong?,60 days
14,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
15,How soon must you notify the issuer if you think your bill is wrong?,60 days
16,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
17,How soon must you notify the issuer if you think your bill is wrong?,60 days
18,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
19,How soon must you notify the issuer if you think your bill is wrong?,60 days
20,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
21,How soon must you notify the issuer if you think your bill is wrong?,60 days
22,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
23,How soon must you notify the issuer if you think your bill is wrong?,60 days
24,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
25,How soon must you notify the issuer if you think your bill is wrong?,60 days
26,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
27,How soon must you notify the issuer if you think your bill is wrong?,60 days
28,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
29,How soon must you notify the issuer if you think your bill is wrong?,60 days
30,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
31,How soon must you notify the issuer if you think your bill is wrong?,60 days
32,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
33,How soon must you notify the issuer if you think your bill is wrong?,60 days
34,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
35,How soon must you notify the issuer if you think your bill is wrong?,60 days
36,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
37,How soon must you notify the issuer if you think your bill is wrong?,60 days
38,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
39,How soon must you notify the issuer if you think your bill is wrong?,60 days
40,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
41,How soon must you notify the issuer if you think your bill is wrong?,60 days
42,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
43,How soon must you notify the issuer if you think your bill is wrong?,60 days
44,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
45,How soon must you notify the issuer if you think your bill is wrong?,60 days
46,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
47,How soon must you notify the issuer if you think your bill is wrong?,60 days
48,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
49,How soon must you notify the issuer if you think your bill is wrong?,60 days
50,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
51,How soon must you notify the issuer if you think your bill is wrong?,60 days
52,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
53,How soon must you notify the issuer if you think your bill is wrong?,60 days
54,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
55,How soon must you notify the issuer if you think your bill is wrong?,60 days
56,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
57,How soon must you notify the issuer if you think your bill is wrong?,60 days
58,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
59,How soon must you notify the issuer if you think your bill is wrong?,60 days
60,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
61,How soon must you notify the issuer if you think your bill is wrong?,60 days
62,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
63,How soon must you notify the issuer if you think your bill is wrong?,60 days
64,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
65,How soon must you notify the issuer if you think your bill is wrong?,60 days
66,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
67,How soon must you notify the issuer if you think your bill is wrong?,60 days
68,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
69,How soon must you notify the issuer if you think your bill is wrong?,60 days
70,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
71,How soon must you notify the issuer if you think your bill is wrong?,60 days
72,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
73,How soon must you notify the issuer if you think your bill is wrong?,60 days
74,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
75,How soon must you notify the issuer if you think your bill is wrong?,60 days
76,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
77,How soon must you notify the issuer if you think your bill is wrong?,60 days
78,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
79,How soon must you notify the issuer if you think your bill is wrong?,60 days
80,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
81,How soon must you notify the issuer if you think your bill is wrong?,60 days
82,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
83,How soon must you notify the issuer if you think your bill is wrong?,60 days
84,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
85,How soon must you notify the issuer if you think your bill is wrong?,60 days
86,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
87,How soon must you notify the issuer if you think your bill is wrong?,60 days
88,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
89,How soon must you notify the issuer if you think your bill is wrong?,60 days
90,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
91,How soon must you notify the issuer if you think your bill is wrong?,60 days
92,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
93,How soon must you notify the issuer if you think your bill is wrong?,60 days
94,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
95,How soon must you notify the issuer if you think your bill is wrong?,60 days
96,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
97,How soon must you notify the issuer if you think your bill is wrong?,60 days
98,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
99,How soon must you notify the issuer if you think your bill is wrong?,60 days
100,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
101,How soon must you notify the issuer if you think your bill is wrong?,60 days
102,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
103,How soon must you notify the issuer if you think your bill is wrong?,60 days
104,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
105,How soon must you notify the issuer if you think your bill is wrong?,60 days
106,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
107,How soon must you notify the issuer if you think your bill is wrong?,60 days
108,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
109,How soon must you notify the issuer if you think your bill is wrong?,60 days
110,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
111,How soon must you notify the issuer if you think your bill is wrong?,60 days
112,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
113,How soon must you notify the issuer if you think your bill is wrong?,60 days
114,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
115,How soon must you notify the issuer if you think your bill is wrong?,60 days
116,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
117,How soon must you notify the issuer if you think your bill is wrong?,60 days
118,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
119,How soon must you notify the issuer if you think your bill is wrong?,60 days
120,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
121,How soon must you notify the issuer if you think your bill is wrong?,60 days
122,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
123,How soon must you notify the issuer if you think your bill is wrong?,60 days
124,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
125,How soon must you notify the issuer if you think your bill is wrong?,60 days
126,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
127,How soon must you notify the issuer if you think your bill is wrong?,60 days
128,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
129,How soon must you notify the issuer if you think your bill is wrong?,60 days
130,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
131,How soon must you notify the issuer if you think your bill is wrong?,60 days
132,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
133,How soon must you notify the issuer if you think your bill is wrong?,60 days
134,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
135,How soon must you notify the issuer if you think your bill is wrong?,60 days
136,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
137,How soon must you notify the issuer if you think your bill is wrong?,60 days
138,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
139,How soon must you notify the issuer if you think your bill is wrong?,60 days
140,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
141,How soon must you notify the issuer if you think your bill is wrong?,60 days
142,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
143,How soon must you notify the issuer if you think your bill is wrong?,60 days
144,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
145,How soon must you notify the issuer if you think your bill is wrong?,60 days
146,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
147,How soon must you notify the issuer if you think your bill is wrong?,60 days
148,"How soon must you notify the issuer if you think your bill is wrong?
",60 days
149,How soon must you notify the issuer if you think your bill is wrong?,60 days
150,How soon must you notify the issuer if you think your bill is wrong?,60 days
